Name,Source Title,DOI,Authors,Year,URL,Type,Source,Note
A Measurement Framework to Support Continuous Improvement in Software Intensive Organizations,2012 Joint Conference of the 22nd International Workshop on Software Measurement and the 2012 Seventh International Conference on Software Process and Product Measurement,10.1109/IWSM-MENSURA.2012.38,S. Béland; A. Abran,2012,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6472588,Conference Paper,IEEE Xplore,EC3
Clustering Tourism Object in Bali Province Using K-Means and X-Means Clustering Algorithm,2018 IEEE 20th International Conference on High Performance Computing and Communications; IEEE 16th International Conference on Smart City; IEEE 4th International Conference on Data Science and Systems (HPCC/SmartCity/DSS),10.1109/HPCC/SmartCity/DSS.2018.00241,S. Monica; F. Natalia; S. Sudirman,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8622979,Conference Paper,IEEE Xplore,EC3
Towards a selfie social network with automatically generated sentiment-bearing hashtags,2016 7th International Conference on Computer Science and Information Technology (CSIT),10.1109/CSIT.2016.7549481,S. Tedmori; R. Al-Lahaseh,2016,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7549481,Conference Paper,IEEE Xplore,EC5
"Metrics Center of Excellence: From Idea to Implementation of a ""Meaningful"" Measurement and Analysis Process",2011 Joint Conference of the 21st International Workshop on Software Measurement and the 6th International Conference on Software Process and Product Measurement,10.1109/IWSM-MENSURA.2011.37,V. S. Joshi,2011,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6113053,Conference Paper,IEEE Xplore,EC3
The Design and Implementation of Data Visualization for Integrated Referral and Service System,2018 International Conference on ICT for Rural Development (IC-ICTRuDev),10.1109/ICICTR.2018.8706846,K. Mahatma; B. Waseso; W. Darwin,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8706846,Conference Paper,IEEE Xplore,EC3
A Metrics Generation Model for Measuring the Control Objectives of Information Systems Audit,2007 40th Annual Hawaii International Conference on System Sciences (HICSS'07),10.1109/HICSS.2007.21,M. Nicho; B. Cusack,2007,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4076858,Conference Paper,IEEE Xplore,EC3
Students Performance Prediction in Online Courses Using Machine Learning Algorithms,2020 International Joint Conference on Neural Networks (IJCNN),10.1109/IJCNN48605.2020.9207196,R. Alshabandar; A. Hussain; R. Keight; W. Khan,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9207196,Conference Paper,IEEE Xplore,EC3
Real-Time Visual Feedback: A Study in Coding Analytics,2017 IEEE 17th International Conference on Advanced Learning Technologies (ICALT),10.1109/ICALT.2017.38,J. Seanosky; I. Guillot; D. Boulanger; R. Guillot; C. Guillot; V. Kumar; S. N. Fraser; Kinshuk; N. Aljojo; A. Munshi,2017,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8001777,Conference Paper,IEEE Xplore,EC5
Visual steering and modeling environment for smart grid models and simulations,2017 IEEE Power & Energy Society General Meeting,10.1109/PESGM.2017.8274093,G. Chin; E. Fitzhenry; A. McBain; S. Beus; L. Marinovici; J. Hansen; K. Studarus,2017,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8274093,Conference Paper,IEEE Xplore,EC5
Emission of licenses versus requests for licensing of building works: KPI definition and performance monitoring,2020 15th Iberian Conference on Information Systems and Technologies (CISTI),10.23919/CISTI49556.2020.9140828,P. Pires; P. Raposo; J. Bernardino; I. Pedrosa,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9140828,Conference Paper,IEEE Xplore,EC5
Artificial Intelligence-Based E-Recruitments System,2020 IEEE 10th International Conference on Intelligent Systems (IS),10.1109/IS48319.2020.9199979,A. Aljuaid; M. Abbod,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9199979,Conference Paper,IEEE Xplore,EC5
MyStream: An in Browser Personalization Service to Follow Events from Twitter,2015 Third IEEE Workshop on Hot Topics in Web Systems and Technologies (HotWeb),10.1109/HotWeb.2015.12,A. Boutet; F. Laforest; S. Frenot; D. Reimert,2015,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7372279,Conference Paper,IEEE Xplore,EC5
Cyber-Physical System Based Production Monitoring for Tapioca Starch Production,2017 4th International Conference on Information Science and Control Engineering (ICISCE),10.1109/ICISCE.2017.196,H. Sriyakul; D. Koolpiruck; W. Songkasiri; S. Nuratch,2017,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8110423,Conference Paper,IEEE Xplore,EC5
Lightweight Risk Mitigation for Software Development Projects Using Repository Mining,Fourth International Workshop on Mining Software Repositories (MSR'07:ICSE Workshops 2007),10.1109/MSR.2007.16,S. P. Masticola,2007,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4228650,Conference Paper,IEEE Xplore,EC3
VisMOOC: Visualizing video clickstream data from massive open online courses,2014 IEEE Conference on Visual Analytics Science and Technology (VAST),10.1109/VAST.2014.7042528,C. Shi; S. Fu; Q. Chen; H. Qu,2014,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7042528,Conference Paper,IEEE Xplore,EC3
Collaborative visualization spaces for petascale simulations,2008 International Symposium on Collaborative Technologies and Systems,10.1109/CTS.2008.4543933,S. Klasky; R. Barreto; A. Kahn; M. Parashar; N. Podhorszki; S. Parker; D. Silver; M. A. Vouk,2008,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4543933,Conference Paper,IEEE Xplore,EC3
TaskBoard: Tracking pertinent task artifacts and plans,2009 IEEE 17th International Conference on Program Comprehension,10.1109/ICPC.2009.5090076,C. Parnin; C. Gorg; S. Rugaber,2009,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5090076,Conference Paper,IEEE Xplore,EC5
Building an effective and efficient continuous web application security program,"2016 International Conference On Cyber Situational Awareness, Data Analytics And Assessment (CyberSA)",10.1109/CyberSA.2016.7503287,M. Bang; H. Saraswat,2016,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7503287,Conference Paper,IEEE Xplore,EC5
Peepdeck: a dashboard for the distributed design studio,2016 Federated Conference on Computer Science and Information Systems (FedCSIS),,J. Muñoz-Alcántara; P. Kosnar; M. Funk; P. Markopoulos,2016,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7733476,Conference Paper,IEEE Xplore,EC3
Criminal justice system data analysis and visualization,2015 Systems and Information Engineering Design Symposium,10.1109/SIEDS.2015.7116993,M. Riley; D. Harelson; M. Monte; M. Chong; M. O'Hern; M. Smith; K. P. White Jr.,2015,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7116993,Conference Paper,IEEE Xplore,EC3
Analytic for Temperature and Humidity – Cloud based Forecasting and Dashboard,2020 4th International Conference on Intelligent Computing and Control Systems (ICICCS),10.1109/ICICCS48265.2020.9120944,M. Kolhe; R. Paturkar; U. Sahu; S. Pillai; A. Titarmare,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9120944,Conference Paper,IEEE Xplore,EC3
Ocelot: A wireless sensor network and computing engine with commodity palmtop computers,2013 International Green Computing Conference Proceedings,10.1109/IGCC.2013.6604482,H. Xu; M. M. Bilec; L. A. Schaefer; A. E. Landis; A. K. Jones,2013,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6604482,Conference Paper,IEEE Xplore,EC5
A Low-Effort Analytics Platform for Visualizing Evolving Flask-Based Python Web Services,2017 IEEE Working Conference on Software Visualization (VISSOFT),10.1109/VISSOFT.2017.13,P. Vogel; T. Klooster; V. Andrikopoulos; M. Lungu,2017,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8091193,Conference Paper,IEEE Xplore,EC3
