Name,Source Title,DOI,Authors,Year,URL,Type,Source,Note
A personalization system for data visualization platforms,2016 Sixth International Conference on Innovative Computing Technology (INTECH),10.1109/INTECH.2016.7845024,O. Belo; H. Correia; P. Rodrigues; R. Barros,2016,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7845024,Conference Paper,IEEE Xplore,OK
An Approach for the Automated Generation of Engaging Dashboards,On the Move to Meaningful Internet Systems: OTM 2019 Conferences,10.1007/978-3-030-33246-4_24,Ünal AksuAdela del-Río-OrtegaManuel ResinasHajo A. Reijers,2019,http://link.springer.com/chapter/10.1007/978-3-030-33246-4_24,Conference Paper,SpringerLink,OK
Restructuring Dynamically Analytical Dashboards Based on Usage Profiles,Foundations of Intelligent Systems,10.1007/978-3-319-08326-1_45,Orlando BeloPaulo RodriguesRui BarrosHelena Correia,2014,http://link.springer.com/chapter/10.1007/978-3-319-08326-1_45,Conference Paper,SpringerLink,OK
Integrated model-driven dashboard development,Information Systems Frontiers,10.1007/s10796-007-9032-9,Themis PalpanasPawan ChowdharyGeorge MihailaFlorian Pinel,2007,http://link.springer.com/article/10.1007/s10796-007-9032-9,Journal Article,SpringerLink,OK
Recommender systems: Metric suggestion mechanisms applied to adaptable software dashboards,ESEC/FSE 2020 - Proceedings of the 28th ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering,10.1145/3368089.3418779,"Strugar, D.",2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097131824&doi=10.1145%2f3368089.3418779&partnerID=40&md5=80c0ab2c64e315d44067fe7178cbde73,Conference Paper,Scopus,OK
Creating user-specific business process monitoring dashboards with a model-driven approach,MODELSWARD 2017 - Proceedings of the 5th International Conference on Model-Driven Engineering and Software Development,10.5220/0006135203530361,"Kintz, M., Kochanowski, M., Koetter, F.",2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046689792&doi=10.5220%2f0006135203530361&partnerID=40&md5=8a1ea2cfac8bca18e0b687b3d293c0bb,Conference Paper,Scopus,OK
